partitions,Aria,AriaER
1,18516.6,19712.6
2,34524.6,36237.7
4,63832.4,66689.5
6,91508.9,95045.9
8,118056.0,122488.0
10,143398.0,148097.0
12,167430.0,171533.0
36,340521.0,343647.0
60,390854.0,387342.0
84,432343.0,426627.0
108,460100.0,463709.0
132,484754.0,470434.0
156,504501.0,494382.0
180,532834.0,499128.0
