zipf,aria,ariaer_cache_fix_v2
0,41324.7,47709.8
0.1,37587,43240.5
0.2,35797.5,41754.6
0.3,32289.6,38145.7
0.4,25584.2,31604.5
0.5,16468.8,22251
0.6,7978.5,12827.4
0.7,2814.1,5821.5
0.8,811.8,1916.8
0.9,287.6,542.1
1.0,178.9,240.3
