zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.0,ariaer_cache_fix,40000,80,100,1000,12,12,46971.8,46971.8
0.2,ariaer_cache_fix,40000,80,100,1000,12,12,41502.7,41502.7
0.4,ariaer_cache_fix,40000,80,100,1000,12,12,31540.5,31540.5
0.6,ariaer_cache_fix,40000,80,100,1000,12,12,12741.9,12741.9
0.8,ariaer_cache_fix,40000,80,100,1000,12,12,1905.1,1905.1
0.9,ariaer_cache_fix,40000,80,100,1000,12,12,534.2,534.2
0.0,ariaer_cache_fix,40000,80,100,4000,12,12,14287,14287
0.2,ariaer_cache_fix,40000,80,100,4000,12,12,12404.4,12404.4
0.4,ariaer_cache_fix,40000,80,100,4000,12,12,9199.2,9199.2
0.6,ariaer_cache_fix,40000,80,100,4000,12,12,3715,3715
0.8,ariaer_cache_fix,40000,80,100,4000,12,12,493.3,493.3
0.9,ariaer_cache_fix,40000,80,100,4000,12,12,136.6,136.6
0.0,ariaer_cache_fix,40000,80,10,1000,12,12,760011,760011
0.2,ariaer_cache_fix,40000,80,10,1000,12,12,494920,494920
0.4,ariaer_cache_fix,40000,80,10,1000,12,12,492894,492894
0.6,ariaer_cache_fix,40000,80,10,1000,12,12,481723,481723
0.8,ariaer_cache_fix,40000,80,10,1000,12,12,379495,379495
0.9,ariaer_cache_fix,40000,80,10,1000,12,12,289123,289123
0.0,ariaer_cache_fix,40000,80,10,4000,12,12,711160,711160
0.2,ariaer_cache_fix,40000,80,10,4000,12,12,468252,468252
0.4,ariaer_cache_fix,40000,80,10,4000,12,12,463083,463083
0.6,ariaer_cache_fix,40000,80,10,4000,12,12,426777,426777
0.8,ariaer_cache_fix,40000,80,10,4000,12,12,305685,305685
0.9,ariaer_cache_fix,40000,80,10,4000,12,12,230158,230158
0.0,ariaer,40000,80,100,1000,12,12,48064.4,48064.4
0.2,ariaer,40000,80,100,1000,12,12,41928.7,41928.7
0.4,ariaer,40000,80,100,1000,12,12,31861.1,31861.1
0.6,ariaer,40000,80,100,1000,12,12,12889.9,12889.9
0.8,ariaer,40000,80,100,1000,12,12,1904,1904
0.9,ariaer,40000,80,100,1000,12,12,549.8,549.8
0.0,ariaer,40000,80,100,4000,12,12,14477,14477
0.2,ariaer,40000,80,100,4000,12,12,12518.3,12518.3
0.4,ariaer,40000,80,100,4000,12,12,9286.4,9286.4
0.6,ariaer,40000,80,100,4000,12,12,3746,3746
0.8,ariaer,40000,80,100,4000,12,12,503.2,503.2
0.9,ariaer,40000,80,100,4000,12,12,140.3,140.3
0.0,ariaer,40000,80,10,1000,12,12,814961,814961
0.2,ariaer,40000,80,10,1000,12,12,505798,505798
0.4,ariaer,40000,80,10,1000,12,12,504493,504493
0.6,ariaer,40000,80,10,1000,12,12,491193,491193
0.8,ariaer,40000,80,10,1000,12,12,392195,392195
0.9,ariaer,40000,80,10,1000,12,12,299079,299079
0.0,ariaer,40000,80,10,4000,12,12,749230,749230
0.2,ariaer,40000,80,10,4000,12,12,479695,479695
0.4,ariaer,40000,80,10,4000,12,12,473610,473610
0.6,ariaer,40000,80,10,4000,12,12,436373,436373
0.8,ariaer,40000,80,10,4000,12,12,314818,314818
0.9,ariaer,40000,80,10,4000,12,12,237226,237226
0.0,aria,40000,80,100,1000,12,12,41325.4,41325.4
0.2,aria,40000,80,100,1000,12,12,35913.9,35913.9
0.4,aria,40000,80,100,1000,12,12,25589.7,25589.7
0.6,aria,40000,80,100,1000,12,12,7951,7951
0.8,aria,40000,80,100,1000,12,12,822.8,822.8
0.9,aria,40000,80,100,1000,12,12,284.9,284.9
0.0,aria,40000,80,100,4000,12,12,10866.5,10866.5
0.2,aria,40000,80,100,4000,12,12,9307.7,9307.7
0.4,aria,40000,80,100,4000,12,12,6578.2,6578.2
0.6,aria,40000,80,100,4000,12,12,2007.5,2007.5
0.8,aria,40000,80,100,4000,12,12,203.3,203.3
0.9,aria,40000,80,100,4000,12,12,73,73
0.0,aria,40000,80,10,1000,12,12,816300,816300
0.2,aria,40000,80,10,1000,12,12,505593,505593
0.4,aria,40000,80,10,1000,12,12,505911,505911
0.6,aria,40000,80,10,1000,12,12,491784,491784
0.8,aria,40000,80,10,1000,12,12,385762,385762
0.9,aria,40000,80,10,1000,12,12,283933,283933
0.0,aria,40000,80,10,4000,12,12,753841,753841
0.2,aria,40000,80,10,4000,12,12,478504,478504
0.4,aria,40000,80,10,4000,12,12,479941,479941
0.6,aria,40000,80,10,4000,12,12,436430,436430
0.8,aria,40000,80,10,4000,12,12,300170,300170
0.9,aria,40000,80,10,4000,12,12,217059,217059
