zipf\tengine\tthreads\tkeys\trw\tops\tbatch_size\taverage_commit
0.999	ariaer_cache_fix_v2	12	40000	80	100	1000	231.6
0.999	ariaer_cache_fix_v2	12	40000	80	10	1000	208846
0.999	ariaer_cache_fix_v2	16	40000	80	100	1000	288.4
0.999	ariaer_cache_fix_v2	16	40000	80	10	1000	261061
0.999	ariaer_cache_fix_v2	1	40000	80	100	1000	18.7
0.999	ariaer_cache_fix_v2	1	40000	80	10	1000	17637
0.999	ariaer_cache_fix_v2	20	40000	80	100	1000	363.9
0.999	ariaer_cache_fix_v2	20	40000	80	10	1000	323443
0.999	ariaer_cache_fix_v2	24	40000	80	100	1000	431.8
0.999	ariaer_cache_fix_v2	24	40000	80	10	1000	382797
0.999	ariaer_cache_fix_v2	28	40000	80	100	1000	497
0.999	ariaer_cache_fix_v2	28	40000	80	10	1000	435506
0.999	ariaer_cache_fix_v2	32	40000	80	100	1000	304
0.999	ariaer_cache_fix_v2	32	40000	80	10	1000	297642
0.999	ariaer_cache_fix_v2	36	40000	80	100	1000	353.1
0.999	ariaer_cache_fix_v2	36	40000	80	10	1000	341654
0.999	ariaer_cache_fix_v2	40	40000	80	100	1000	392.9
0.999	ariaer_cache_fix_v2	40	40000	80	10	1000	377533
0.999	ariaer_cache_fix_v2	44	40000	80	100	1000	428.4
0.999	ariaer_cache_fix_v2	44	40000	80	10	1000	403810
0.999	ariaer_cache_fix_v2	48	40000	80	100	1000	465
0.999	ariaer_cache_fix_v2	48	40000	80	10	1000	437367
0.999	ariaer_cache_fix_v2	4	40000	80	100	1000	82.1
0.999	ariaer_cache_fix_v2	4	40000	80	10	1000	69134.7
0.999	ariaer_cache_fix_v2	52	40000	80	100	1000	508
0.999	ariaer_cache_fix_v2	52	40000	80	10	1000	478378
0.999	ariaer_cache_fix_v2	56	40000	80	100	1000	541.2
0.999	ariaer_cache_fix_v2	56	40000	80	10	1000	503690
0.999	ariaer_cache_fix_v2	60	40000	80	100	1000	572.6
0.999	ariaer_cache_fix_v2	60	40000	80	10	1000	519080
0.999	ariaer_cache_fix_v2	8	40000	80	100	1000	153.7
0.999	ariaer_cache_fix_v2	8	40000	80	10	1000	140521
0.999	aria	12	40000	80	100	1000	173.3
0.999	aria	12	40000	80	10	1000	193123
0.999	aria	16	40000	80	100	1000	210.9
0.999	aria	16	40000	80	10	1000	241558
0.999	aria	1	40000	80	100	1000	15.1
0.999	aria	1	40000	80	10	1000	16179.3
0.999	aria	20	40000	80	100	1000	263.6
0.999	aria	20	40000	80	10	1000	297813
0.999	aria	24	40000	80	100	1000	321.1
0.999	aria	24	40000	80	10	1000	352716
0.999	aria	28	40000	80	100	1000	371.1
0.999	aria	28	40000	80	10	1000	404744
0.999	aria	32	40000	80	100	1000	236.1
0.999	aria	32	40000	80	10	1000	276531
0.999	aria	36	40000	80	100	1000	270.7
0.999	aria	36	40000	80	10	1000	320077
0.999	aria	40	40000	80	100	1000	302.7
0.999	aria	40	40000	80	10	1000	352171
0.999	aria	44	40000	80	100	1000	333
0.999	aria	44	40000	80	10	1000	376648
0.999	aria	48	40000	80	100	1000	357.4
0.999	aria	48	40000	80	10	1000	407212
0.999	aria	4	40000	80	100	1000	58.2
0.999	aria	4	40000	80	10	1000	65251.4
0.999	aria	52	40000	80	100	1000	385.6
0.999	aria	52	40000	80	10	1000	446073
0.999	aria	56	40000	80	100	1000	411.8
0.999	aria	56	40000	80	10	1000	463087
0.999	aria	60	40000	80	100	1000	435.3
0.999	aria	60	40000	80	10	1000	475797
0.999	aria	8	40000	80	100	1000	115.1
0.999	aria	8	40000	80	10	1000	130029
