zipf,aria_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0,764479,787368
0.1,498916,500429
0.2,502412,499275
0.3,501112,496530
0.4,499482,494719
0.5,468454,469781
0.6,318541,337461
0.7,214022,243651
0.8,152738,185125
0.9,121060,148598
1.0,104611,128374
