query,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_ariafb_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix,ariaer_cache_fix_v2_ariafb_abort_lock_fix,ariafb_abort_lock_fix
mixed,32548.7,33490.9,345228,33543.2,345096,346387
neworder,24089.1,23048.5,284723,23187.7,286002,286166
payment,96498.5,111448,823072,110648,823252,819784
