zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,throughput,total_commit
0.4,ariaer_cache_fix_v2,40000,80,100,8000,12,12,4759.1,4759.1
0.5,ariaer_cache_fix_v2,40000,80,100,8000,12,12,3320.2,3320.2
0.6,ariaer_cache_fix_v2,40000,80,100,8000,12,12,1898.9,1898.9
0.7,ariaer_cache_fix_v2,40000,80,100,8000,12,12,844.7,844.7
0.8,ariaer_cache_fix_v2,40000,80,100,8000,12,12,253,253
0.0,ariaer_cache_fix_v2,40000,80,100,9000,12,12,6717.3,6717.3
0.1,ariaer_cache_fix_v2,40000,80,100,9000,12,12,6068.9,6068.9
0.2,ariaer_cache_fix_v2,40000,80,100,9000,12,12,5717.7,5717.7
0.3,ariaer_cache_fix_v2,40000,80,100,9000,12,12,5179.6,5179.6
0.4,ariaer_cache_fix_v2,40000,80,100,9000,12,12,4231.2,4231.2
0.5,ariaer_cache_fix_v2,40000,80,100,9000,12,12,2954.3,2954.3
0.6,ariaer_cache_fix_v2,40000,80,100,9000,12,12,1713.7,1713.7
0.7,ariaer_cache_fix_v2,40000,80,100,9000,12,12,740.6,740.6
0.8,ariaer_cache_fix_v2,40000,80,100,9000,12,12,238.2,238.2
0.0,aria,40000,80,100,10000,12,12,4461.7,4461.7
0.1,aria,40000,80,100,10000,12,12,4017.3,4017.3
0.2,aria,40000,80,100,10000,12,12,3801.4,3801.4
0.3,aria,40000,80,100,10000,12,12,3401.1,3401.1
0.4,aria,40000,80,100,10000,12,12,2679.3,2679.3
0.5,aria,40000,80,100,10000,12,12,1721.3,1721.3
0.6,aria,40000,80,100,10000,12,12,839.2,839.2
0.7,aria,40000,80,100,10000,12,12,296,296
0.8,aria,40000,80,100,10000,12,12,84.5,84.5
0.0,aria,40000,80,100,1000,12,12,41379.1,41379.1
0.1,aria,40000,80,100,1000,12,12,37514.5,37514.5
0.2,aria,40000,80,100,1000,12,12,35956,35956
0.3,aria,40000,80,100,1000,12,12,32267.5,32267.5
0.4,aria,40000,80,100,1000,12,12,25632.9,25632.9
0.5,aria,40000,80,100,1000,12,12,16469.9,16469.9
0.6,aria,40000,80,100,1000,12,12,7944.2,7944.2
0.7,aria,40000,80,100,1000,12,12,2816.4,2816.4
0.8,aria,40000,80,100,1000,12,12,820.7,820.7
0.0,aria,40000,80,100,2000,12,12,21272.1,21272.1
0.1,aria,40000,80,100,2000,12,12,19256.3,19256.3
0.2,aria,40000,80,100,2000,12,12,18283.7,18283.7
0.3,aria,40000,80,100,2000,12,12,16373.3,16373.3
0.4,aria,40000,80,100,2000,12,12,12944.3,12944.3
0.5,aria,40000,80,100,2000,12,12,8222.3,8222.3
0.6,aria,40000,80,100,2000,12,12,3955.5,3955.5
0.7,aria,40000,80,100,2000,12,12,1417.3,1417.3
0.8,aria,40000,80,100,2000,12,12,400.9,400.9
0.0,aria,40000,80,100,3000,12,12,14288.7,14288.7
0.1,aria,40000,80,100,3000,12,12,12963.5,12963.5
0.2,aria,40000,80,100,3000,12,12,12365.4,12365.4
0.3,aria,40000,80,100,3000,12,12,11010.3,11010.3
0.4,aria,40000,80,100,3000,12,12,8710.5,8710.5
0.5,aria,40000,80,100,3000,12,12,5589,5589
0.6,aria,40000,80,100,3000,12,12,2681.1,2681.1
0.7,aria,40000,80,100,3000,12,12,956.8,956.8
0.8,aria,40000,80,100,3000,12,12,272.7,272.7
0.0,aria,40000,80,100,4000,12,12,10832.5,10832.5
0.1,aria,40000,80,100,4000,12,12,9809.5,9809.5
0.2,aria,40000,80,100,4000,12,12,9329.5,9329.5
0.3,aria,40000,80,100,4000,12,12,8320.7,8320.7
0.4,aria,40000,80,100,4000,12,12,6557,6557
0.5,aria,40000,80,100,4000,12,12,4198.2,4198.2
0.6,aria,40000,80,100,4000,12,12,2024.8,2024.8
0.7,aria,40000,80,100,4000,12,12,705.3,705.3
0.8,aria,40000,80,100,4000,12,12,201.9,201.9
0.0,aria,40000,80,100,5000,12,12,8742,8742
0.1,aria,40000,80,100,5000,12,12,7894.7,7894.7
0.2,aria,40000,80,100,5000,12,12,7533.9,7533.9
