threads,aria_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
1,283.4,309.4
4,7276.1,8938.4
8,20300,24431.1
12,35767.9,43599.1
16,46023.1,56315.3
20,52594.1,65464.1
24,54736,65559.2
28,55302.4,65564.1
32,43093.6,50250.5
36,46821.9,53556.4
40,47111.1,57923.4
44,49400.8,60836.6
48,53066.9,62506.7
52,47655.2,62726.7
56,51800.9,65241.8
60,55534.8,62824.8
