batch_size,Aria,AriaER
1000,41379.1,47681.7
2000,21272.1,26886.1
3000,14288.7,18803.4
4000,10832.5,14493.1
5000,8742,11729.4
6000,7350.1,9876.2
7000,6310.5,8557.8
8000,5541.8,7308.6
9000,4919.5,6717.3
10000,4461.7,6116.5
