batch_size,Aria,AriaER
1000,37514.5,43298.2
2000,19256.3,24377.5
3000,12963.5,16954.5
4000,9809.5,12999.4
5000,7894.7,10599
6000,6592.9,8874
7000,5710.9,7664.3
8000,5027,6780.1
9000,4435.4,6068.9
10000,4017.3,5407
