batch_size,Aria,AriaER
1000,16469.9,22291.4
2000,8222.3,12109.6
3000,5589,8472
4000,4198.2,6421.8
5000,3370.6,5268.4
6000,2840.8,4393.3
7000,2424.2,3773.8
8000,2127.7,3320.2
9000,1893.4,2954.3
10000,1721.3,2662.5
