batch_size,Aria,AriaER
1000,820.7,1878
2000,400.9,995.4
3000,272.7,677.7
4000,201.9,506.2
5000,162.6,408.1
6000,140.4,344.4
7000,117,297.7
8000,104.3,253
9000,93.5,238.2
10000,84.5,211
