batch_size,Aria,AriaER
1000,32267.5,38165.6
2000,16373.3,21063.1
3000,11010.3,14700.8
4000,8320.7,11302.2
5000,6730.9,9130.5
6000,5646.3,7706.2
7000,4829.9,6639
8000,4223.3,5823.2
9000,3808.1,5179.6
10000,3401.1,4746.3
