batch_size,Aria,AriaER
1000,2816.4,5795.7
2000,1417.3,3114.5
3000,956.8,2170.4
4000,705.3,1644.2
5000,564.5,1336.8
6000,476.8,1096
7000,412.6,925.3
8000,360,844.7
9000,320.1,740.6
10000,296,659.1
