batch_size,Aria,AriaER
1000,7944.2,12816.8
2000,3955.5,7001.8
3000,2681.1,4845.2
4000,2024.8,3716.7
5000,1614.3,3036.7
6000,1367.4,2542.7
7000,1166.6,2192.6
8000,1028.9,1898.9
9000,901.3,1713.7
10000,839.2,1526.5
