batch_size,Aria,AriaER
1000,25632.9,31732.2
2000,12944.3,17385.1
3000,8710.5,12015.9
4000,6557,9204.8
5000,5263.1,7481.2
6000,4456.8,6274.7
7000,3811.9,5420.4
8000,3346.7,4759.1
9000,2989.2,4231.2
10000,2679.3,3854.5
