zipf,aria,ariaer,ariafb
0.0,41355.2,47617.8,61202.1
0.2,35952.8,41989.4,57409
0.4,25624.8,31799.6,51662.9
0.6,7940.5,12876.3,31966.4
0.8,823.6,1915.8,13810.9
0.9,293.6,545.4,11531.8
