zipf,aria,ariaer,ariaer_cache_fix
0.0,88541.6,100169,96982.6
0.2,77663.4,88799.7,86940.6
0.4,55034.6,66969.6,65379.7
0.6,16791.8,26826.7,26340.4
0.8,1663.2,3985.8,3868
0.9,588.6,1123.3,1090.8
