zipf,aria,ariaer,ariaer_cache_fix
0.0,21303.5,28879.5,27839.2
0.2,18796.3,25394.6,25003.1
0.4,13154.6,18689,18322.1
0.6,3983.5,7484.8,7365.8
0.8,404.4,1011.4,995
0.9,136.2,279.3,270.1
