zipf,aria,ariaer,ariaer_cache_fix
0.0,1.57688e+06,1.52423e+06,1.31398e+06
0.2,1.0775e+06,1.07649e+06,1.01149e+06
0.4,1.07836e+06,1.07481e+06,995528
0.6,1.04766e+06,1.03002e+06,966401
0.8,795832,806615,744471
0.9,593546,618167,564854
