zipf,aria,ariaer,ariaer_cache_fix
0.0,1.55554e+06,1.53065e+06,1.32584e+06
0.2,1.07e+06,1.07352e+06,987407
0.4,1.05865e+06,1.05243e+06,982953
0.6,973184,961036,899699
0.8,644044,684880,633091
0.9,477886,514687,474896
