zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,833278,818778,818019
0.2,517861,514025,514458
0.4,507125,503912,503362
0.6,249498,283050,282054
0.8,135038,169094,169347
0.9,113168,140137,141144
