zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,541952,536468,535304
0.2,383299,381342,380468
0.4,251770,255317,255268
0.6,97984.2,106750,106794
0.8,54680.9,62112.1,61907.4
0.9,42285.4,50074,50043.8
