zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,3083.8,3972.6,3970.7
0.2,3007,3886.2,3908
0.4,2587.2,3442,3444.3
0.6,1342.8,1963.7,1947.6
0.8,334.7,482.1,479.7
0.9,198.8,267.4,273
