zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,699881,691386,706554
0.2,460392,461751,459572
0.4,255839,272632,271021
0.6,99961.6,127936,128748
0.8,62634.2,82372.9,82287.7
0.9,54423.8,69938.3,69609.2
