zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,926,1125.5,1103.5
0.2,876.6,1124.7,1098
0.4,578.5,859.2,892.2
0.6,73.5,90.1,89.6
0.8,27.9,30.7,30.2
0.9,25.6,28,27.1
