zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,274483,284765,286326
0.2,218728,225120,224707
0.4,85928.3,89511.5,89827.6
0.6,35788.4,40368,40683.8
0.8,23070.8,27154.1,27059.9
0.9,16302.5,20811.5,20716.7
