zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,3340.4,5041.8,5155.4
0.2,3279.5,4901.5,4938.9
0.4,2854.6,4492.2,4564.6
0.6,1571.9,3466.2,3438.3
0.8,130.8,602.6,581.6
0.9,84.3,278.4,260.8
