zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,753.5,3019,3193.2,3327.6
0.2,2168.4,2869.4,2809,2957.3
0.4,479.3,1971.9,2009,2015
0.6,343,488,494,498.6
0.8,31.3,37.1,35.4,37.9
0.9,22.8,22.5,22.4,22.5
