zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,4328,2919.8,12231.3,12642.6
0.2,8545.2,11043.2,9580.2,11195
0.4,1212.4,7590.1,7675,7726.6
0.6,1338.9,1899.3,1925.2,1929.3
0.8,26.9,149.3,155.2,149.6
0.9,86.4,91.2,91,92.6
