zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,40207.6,47818.5,46473.7,47655.1
0.2,6110.8,5609.6,40570.4,41602.5
0.4,24926.4,31047.9,31448.2,31504.7
0.6,7841.6,12581,12766.4,12810.4
0.8,790.5,1862.5,1899.5,1892.4
0.9,277.6,538.5,536.8,543
