zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,566253,573398,530175,572664
0.2,390180,67647.9,381535,396664
0.4,384683,382982,384130,390568
0.6,339310,340053,339709,345201
0.8,170539,103979,179039,182083
0.9,80465.2,91675.7,90395.1,93138.6
