zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,479699,62253.3,455571,486191
0.2,338110,58334,57913,342941
0.4,322019,320339,320236,324896
0.6,240243,247490,246366,250934
0.8,14978,15017.4,106437,108437
0.9,40439,51023.1,50018.7,51162.4
