zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,780010,809540,741200,812901
0.2,25992.1,66481.4,481614,506484
0.4,494710,490744,491899,506186
0.6,24155.7,122934,481991,493912
0.8,374437,382568,378931,388779
0.9,283051,291802,288279,296245
