zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,10484.2,14537.7,13884.4,14469.1
0.2,9134.1,11731.5,11997.7,12470
0.4,6360.5,8975.7,9207.9,9203.5
0.6,1925.9,3607.6,3723.5,3742.4
0.8,198.9,505.3,509.2,503.8
0.9,71.1,133.4,139.8,136.9
