zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_ariafb_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix,ariaer_cache_fix_v2_ariafb_abort_lock_fix,ariafb_abort_lock_fix
0.0,769264,765989,767400,786976,744600,768100
0.2,504080,497391,492300,498599,494300,493900
0.4,502208,497187,493300,496122,496100,494694
0.6,316096,339307,483100,337398,483200,482000
0.8,153379,185783,373000,185552,372313,371121
0.9,121210,148750,283180,149268,282924,281947
