zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_ariafb_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix,ariaer_cache_fix_v2_ariafb_abort_lock_fix,ariafb_abort_lock_fix
0.0,32042.6,42852.9,61066.5,42993.5,61198.1,61200
0.2,29471.4,39971.7,57400,39904.1,57481.1,57299.8
0.4,19055.6,27735.4,51673.7,27647.6,51700,51619.8
0.6,7410.6,10355.1,32184,10420.9,32174.5,32132.3
0.8,3792.4,6891.4,13856.9,6854.3,13892,13852.7
0.9,1821.7,4156.1,11565,4154.7,11585.3,11584.3
