zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_ariafb_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix,ariaer_cache_fix_v2_ariafb_abort_lock_fix,ariafb_abort_lock_fix
0.0,6499.8,7878,33000,7774.4,33043.8,33081.9
0.2,6134.1,7354.8,31712.3,7352.3,31773,31724.9
0.4,4458.1,5319.4,28713.2,5307.5,28771.7,28756
0.6,2610.6,3315.1,16568.7,3309.2,16600,16538.3
0.8,593.4,875.3,7310.2,875.8,7335.2,7333.9
0.9,273.8,403.4,6973.6,403.8,6986.6,7022
