zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_ariafb_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix,ariaer_cache_fix_v2_ariafb_abort_lock_fix,ariafb_abort_lock_fix
0.0,691919,686173,711200,697385,704800,716800
0.2,463955,465188,472800,462537,472800,472800
0.4,378366,388447,470000,393424,471600,469200
0.6,139930,163115,445600,160730,447200,444756
0.8,71331.2,91467.6,343600,90995.8,343219,342000
0.9,59670.7,76453.1,266427,76512.9,266509,266376
