zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_ariafb_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix,ariaer_cache_fix_v2_ariafb_abort_lock_fix,ariafb_abort_lock_fix
0.0,534504,525377,555901,528456,550900,560600
0.2,383262,380213,394900,379681,396300,394500
0.4,374378,372373,389900,370162,393000,392204
0.6,136581,145208,354909,144356,356600,355000
0.8,62848,69924.7,222232,70157.3,222400,222073
0.9,49049.7,55617.2,151317,56070.7,151167,151100
