zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,throughput,total_commit
0.3,aria_abort_lock_fix,40000,95,100,7000,12,12,21081.6,21081.6
0.4,aria_abort_lock_fix,40000,95,100,7000,12,12,15620.4,15620.4
0.5,aria_abort_lock_fix,40000,95,100,7000,12,12,8868.5,8868.5
0.6,aria_abort_lock_fix,40000,95,100,7000,12,12,6042.4,6042.4
0.7,aria_abort_lock_fix,40000,95,100,7000,12,12,5321.1,5321.1
0.8,aria_abort_lock_fix,40000,95,100,7000,12,12,3610.7,3610.7
0.9,aria_abort_lock_fix,40000,95,100,7000,12,12,2278.3,2278.3
0.99,aria_abort_lock_fix,40000,95,100,7000,12,12,1605.2,1605.2
0.0,aria_abort_lock_fix,40000,95,100,8000,12,12,22682.7,22682.7
0.1,aria_abort_lock_fix,40000,95,100,8000,12,12,21816,21816
0.2,aria_abort_lock_fix,40000,95,100,8000,12,12,21129,21129
0.3,aria_abort_lock_fix,40000,95,100,8000,12,12,18578.1,18578.1
0.4,aria_abort_lock_fix,40000,95,100,8000,12,12,13897.9,13897.9
0.5,aria_abort_lock_fix,40000,95,100,8000,12,12,8171.2,8171.2
0.6,aria_abort_lock_fix,40000,95,100,8000,12,12,5643.9,5643.9
0.7,aria_abort_lock_fix,40000,95,100,8000,12,12,4967.4,4967.4
0.8,aria_abort_lock_fix,40000,95,100,8000,12,12,2982.8,2982.8
0.9,aria_abort_lock_fix,40000,95,100,8000,12,12,1922.2,1922.2
0.99,aria_abort_lock_fix,40000,95,100,8000,12,12,1322.9,1322.9
0.0,aria_abort_lock_fix,40000,95,100,9000,12,12,20403.1,20403.1
0.1,aria_abort_lock_fix,40000,95,100,9000,12,12,19788,19788
0.2,aria_abort_lock_fix,40000,95,100,9000,12,12,18812.4,18812.4
0.3,aria_abort_lock_fix,40000,95,100,9000,12,12,16542.2,16542.2
0.4,aria_abort_lock_fix,40000,95,100,9000,12,12,12573,12573
0.5,aria_abort_lock_fix,40000,95,100,9000,12,12,7485.7,7485.7
0.6,aria_abort_lock_fix,40000,95,100,9000,12,12,5321.5,5321.5
0.7,aria_abort_lock_fix,40000,95,100,9000,12,12,4322.5,4322.5
0.8,aria_abort_lock_fix,40000,95,100,9000,12,12,2474.1,2474.1
0.9,aria_abort_lock_fix,40000,95,100,9000,12,12,1668.2,1668.2
0.99,aria_abort_lock_fix,40000,95,100,9000,12,12,1169.9,1169.9
0.0,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,10000,12,12,20723.1,20723.1
0.1,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,10000,12,12,20245.4,20245.4
0.2,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,10000,12,12,19368.4,19368.4
0.3,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,10000,12,12,17331,17331
0.4,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,10000,12,12,13515.3,13515.3
0.5,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,10000,12,12,9038.9,9038.9
0.6,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,10000,12,12,6449.6,6449.6
0.7,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,10000,12,12,5397.5,5397.5
0.8,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,10000,12,12,3892.2,3892.2
0.9,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,10000,12,12,3068.9,3068.9
0.99,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,10000,12,12,2570.4,2570.4
0.0,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,1000,12,12,122874,122874
0.1,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,1000,12,12,111871,111871
0.2,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,1000,12,12,110982,110982
0.3,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,1000,12,12,107412,107412
0.4,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,1000,12,12,95845.9,95845.9
0.5,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,1000,12,12,65490.3,65490.3
0.6,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,1000,12,12,34456.6,34456.6
0.7,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,1000,12,12,23306,23306
0.8,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,1000,12,12,20137.4,20137.4
0.9,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,1000,12,12,19612.5,19612.5
0.99,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,1000,12,12,19386.1,19386.1
0.0,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,2000,12,12,85394.3,85394.3
0.1,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,2000,12,12,79921.8,79921.8
0.2,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,2000,12,12,77526.2,77526.2
0.3,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,2000,12,12,71319.4,71319.4
0.4,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,2000,12,12,56844.8,56844.8
0.5,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,2000,12,12,34811.2,34811.2
0.6,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,2000,12,12,19331.7,19331.7
0.7,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,2000,12,12,14637.9,14637.9
0.8,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,2000,12,12,13594.1,13594.1
0.9,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,2000,12,12,13421.3,13421.3
0.99,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,2000,12,12,13161.9,13161.9
0.0,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,3000,12,12,61661.3,61661.3
0.1,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,3000,12,12,58716,58716
0.2,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,3000,12,12,56250.8,56250.8
0.3,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,3000,12,12,50528.9,50528.9
0.4,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,3000,12,12,39766.4,39766.4
0.5,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,3000,12,12,24286.4,24286.4
0.6,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,3000,12,12,13931.1,13931.1
0.7,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,3000,12,12,11127.3,11127.3
0.8,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,3000,12,12,10777.5,10777.5
0.9,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,3000,12,12,10871.2,10871.2
0.99,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,3000,12,12,10564.4,10564.4
0.0,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,4000,12,12,47925.5,47925.5
0.1,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,4000,12,12,45979.3,45979.3
0.2,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,4000,12,12,44041.9,44041.9
0.3,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,4000,12,12,39607.2,39607.2
0.4,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,4000,12,12,30546.6,30546.6
0.5,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,4000,12,12,18510.9,18510.9
0.6,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,4000,12,12,11142.3,11142.3
0.7,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,4000,12,12,9204.1,9204.1
0.8,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,4000,12,12,9154.2,9154.2
0.9,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,4000,12,12,9128.7,9128.7
0.99,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,4000,12,12,8283.6,8283.6
0.0,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,5000,12,12,39461.1,39461.1
0.1,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,5000,12,12,37822,37822
0.2,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,5000,12,12,36379.8,36379.8
0.3,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,5000,12,12,32612.1,32612.1
0.4,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,5000,12,12,24838.9,24838.9
0.5,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,5000,12,12,15451.2,15451.2
0.6,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,5000,12,12,9625.1,9625.1
0.7,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,5000,12,12,8170.4,8170.4
0.8,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,5000,12,12,8113.5,8113.5
0.9,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,5000,12,12,7293.2,7293.2
