batch_size,aria,ariaer_cache_fix_v2
1000,28410.2,36209.8
2000,19067.5,27330.4
3000,15084.9,23277.8
4000,12687.6,20579.2
5000,11063.5,18690.7
6000,9945.5,17320.7
7000,8936.5,16224.9
8000,8244,15389.4
9000,7626.9,14462.1
10000,7172.9,13906.6
