batch_size,aria,ariaer_cache_fix_v2
1000,44036.4,50025.9
2000,29037.9,35990.4
3000,22451.3,29182.3
4000,18404,25176.3
5000,15871.7,22355.5
6000,13971.5,20214.3
7000,12543.4,18657.2
8000,11422.1,17217.6
9000,10436.9,16227.4
10000,9698.2,15189.9
