batch_size,aria,ariaer_cache_fix_v2
1000,108104,108596
2000,72889,75626.6
3000,55104.4,57682.4
4000,43987.4,46777
5000,37082.3,39552.2
6000,31794.2,34342.5
7000,27933.4,30323.7
8000,24907.5,27373.8
9000,22515.1,24789.9
10000,20419.4,22806.7
