query	engine	partitions	threads	batch_size	neworder_dist	payment_dist	n_district	average_commit
mixed	ariaer_cache_fix_v2	108	12	1000	10	15	10	309978
mixed	ariaer_cache_fix_v2	12	12	1000	10	15	10	84434.1
mixed	ariaer_cache_fix_v2	132	12	1000	10	15	10	331743
mixed	ariaer_cache_fix_v2	156	12	1000	10	15	10	341803
mixed	ariaer_cache_fix_v2	180	12	1000	10	15	10	361944
mixed	ariaer_cache_fix_v2	1	12	1000	10	15	10	9696.3
mixed	ariaer_cache_fix_v2	36	12	1000	10	15	10	198296
mixed	ariaer_cache_fix_v2	4	12	1000	10	15	10	32462.3
mixed	ariaer_cache_fix_v2	60	12	1000	10	15	10	241442
mixed	ariaer_cache_fix_v2	84	12	1000	10	15	10	290366
mixed	ariaer_cache_fix_v2	8	12	1000	10	15	10	59366
mixed	aria	108	12	1000	10	15	10	311046
mixed	aria	12	12	1000	10	15	10	81240.9
mixed	aria	132	12	1000	10	15	10	332210
mixed	aria	156	12	1000	10	15	10	352581
mixed	aria	180	12	1000	10	15	10	365798
mixed	aria	1	12	1000	10	15	10	9080.6
mixed	aria	36	12	1000	10	15	10	193361
mixed	aria	4	12	1000	10	15	10	30935.7
mixed	aria	60	12	1000	10	15	10	240523
mixed	aria	84	12	1000	10	15	10	301157
mixed	aria	8	12	1000	10	15	10	57120.4
