variant	engine	threads	zipf	rw	ops	batch_size	exit_code	elapsed_sec	average_commit	average_abort	total_commit	log_path
current	aria	12	0.4	50	10	1024	0	27	396568	18459.2	396568	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs1024_zipf_0.4.log
current	aria	12	0.4	50	10	2048	0	27	369188	35496.9	369188	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs2048_zipf_0.4.log
current	aria	12	0.4	50	10	4096	0	26	325212	65545.9	325212	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs4096_zipf_0.4.log
current	aria	12	0.4	50	100	1024	0	26	5791.3	67117.5	5791.3	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs1024_zipf_0.4.log
current	aria	12	0.4	50	100	2048	0	26	2898.7	70419.7	2898.7	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs2048_zipf_0.4.log
current	aria	12	0.4	50	100	4096	0	27	1484.4	73062.8	1484.4	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs4096_zipf_0.4.log
current	aria	12	0.4	80	10	1024	0	26	507383	4002.7	507383	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs1024_zipf_0.4.log
current	aria	12	0.4	80	10	2048	0	27	495950	8471.9	495950	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs2048_zipf_0.4.log
current	aria	12	0.4	80	10	4096	0	27	472000	17881.7	472000	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs4096_zipf_0.4.log
current	aria	12	0.4	80	100	1024	0	27	25142.1	85859.5	25142.1	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs1024_zipf_0.4.log
current	aria	12	0.4	80	100	2048	0	26	12609.2	98187.6	12609.2	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs2048_zipf_0.4.log
current	aria	12	0.4	80	100	4096	0	26	6432.1	106208	6432.1	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs4096_zipf_0.4.log
current	aria	12	0.6	50	10	1024	0	27	345627	71550.3	345627	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs1024_zipf_0.6.log
current	aria	12	0.6	50	10	2048	0	27	303963	110348	303963	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs2048_zipf_0.6.log
current	aria	12	0.6	50	10	4096	0	27	242739	157440	242739	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs4096_zipf_0.6.log
current	aria	12	0.6	50	100	1024	0	26	1346.9	74121.9	1346.9	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs1024_zipf_0.6.log
current	aria	12	0.6	50	100	2048	0	26	682.4	75093.6	682.4	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs2048_zipf_0.6.log
current	aria	12	0.6	50	100	4096	0	27	353.6	76651.2	353.6	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs4096_zipf_0.6.log
current	aria	12	0.6	80	10	1024	0	27	493943	22563	493943	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs1024_zipf_0.6.log
current	aria	12	0.6	80	10	2048	0	27	472033	39762.5	472033	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs2048_zipf_0.6.log
current	aria	12	0.6	80	10	4096	0	27	432212	66270.9	432212	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs4096_zipf_0.6.log
current	aria	12	0.6	80	100	1024	0	26	7768.6	108660	7768.6	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs1024_zipf_0.6.log
current	aria	12	0.6	80	100	2048	0	26	3875	111837	3875	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs2048_zipf_0.6.log
current	aria	12	0.6	80	100	4096	0	27	1958.7	115596	1958.7	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs4096_zipf_0.6.log
current	aria	12	0.8	50	10	1024	0	26	170956	262093	170956	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs1024_zipf_0.8.log
current	aria	12	0.8	50	10	2048	0	27	130276	300213	130276	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs2048_zipf_0.8.log
current	aria	12	0.8	50	10	4096	0	26	92705.7	328363	92705.7	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs4096_zipf_0.8.log
current	aria	12	0.8	50	100	1024	0	26	121.2	80058	121.2	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs1024_zipf_0.8.log
current	aria	12	0.8	50	100	2048	0	26	62.1	80219.5	62.1	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs2048_zipf_0.8.log
current	aria	12	0.8	50	100	4096	0	27	30.5	81070.3	30.5	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs4096_zipf_0.8.log
current	aria	12	0.8	80	10	1024	0	26	383601	147548	383601	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs1024_zipf_0.8.log
current	aria	12	0.8	80	10	2048	0	27	343921	185487	343921	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs2048_zipf_0.8.log
current	aria	12	0.8	80	10	4096	0	27	297845	223576	297845	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs4096_zipf_0.8.log
current	aria	12	0.8	80	100	1024	0	26	786.8	125268	786.8	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs1024_zipf_0.8.log
current	aria	12	0.8	80	100	2048	0	27	384.6	124543	384.6	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs2048_zipf_0.8.log
current	aria	12	0.8	80	100	4096	0	26	199.3	126367	199.3	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs4096_zipf_0.8.log
current	aria	12	0.9	50	10	1024	0	26	79683.1	355414	79683.1	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs1024_zipf_0.9.log
current	aria	12	0.9	50	10	2048	0	26	57798	376583	57798	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs2048_zipf_0.9.log
current	aria	12	0.9	50	10	4096	0	26	40036.2	386767	40036.2	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs4096_zipf_0.9.log
current	aria	12	0.9	50	100	1024	0	27	84.7	83166.5	84.7	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs1024_zipf_0.9.log
current	aria	12	0.9	50	100	2048	0	26	42.2	82697	42.2	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs2048_zipf_0.9.log
current	aria	12	0.9	50	100	4096	0	26	21.1	83946.9	21.1	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs4096_zipf_0.9.log
current	aria	12	0.9	80	10	1024	0	26	282457	249306	282457	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs1024_zipf_0.9.log
