batch_size,aria_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
1000,111734,111871
2000,76470.6,79921.8
3000,54233,58716
4000,41882.7,45979.3
5000,34288.4,37822
6000,28996.8,32245.1
7000,24962.5,27993.8
8000,21816,24732.7
9000,19788,22267.2
10000,17788.1,20245.4
