batch_size,aria_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
1000,17963.3,23306
2000,10965.7,14637.9
3000,8411,11127.3
4000,7064,9204.1
5000,6366.9,8170.4
6000,5781.7,7337.9
7000,5321.1,6644.6
8000,4967.4,6321.1
9000,4322.5,5891
10000,3882,5397.5
