batch_size,aria_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
1000,121897,122874
2000,81762.8,85394.3
3000,57209.3,61661.3
4000,43706.3,47925.5
5000,35615.2,39461.1
6000,30090.9,33484.2
7000,25953.8,28936.6
8000,22682.7,25559.3
9000,20403.1,23067.4
10000,18496.3,20723.1
