batch_size,aria_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
1000,15795.3,20137.4
2000,10084.2,13594.1
3000,7822.9,10777.5
4000,6641.2,9154.2
5000,5792.9,8113.5
6000,4629.8,7224.2
7000,3610.7,6000.6
8000,2982.8,5108
9000,2474.1,4428.3
10000,2098.2,3892.2
