batch_size,aria_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
1000,12979.4,19386.1
2000,7774.5,13161.9
3000,5317.9,10564.4
4000,3238,8283.6
5000,2440.6,6174.6
6000,1911.7,4964.9
7000,1605.2,3911.5
8000,1322.9,3363.4
9000,1169.9,2866.6
10000,1031.9,2570.4
