batch_size,aria_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
1000,51333.6,65490.3
2000,25707.1,34811.2
3000,17397.8,24286.4
4000,13094.1,18510.9
5000,11320.7,15451.2
6000,10052.1,13380.7
7000,8868.5,11812.2
8000,8171.2,10596.6
9000,7485.7,9779.3
10000,7156.4,9038.9
