batch_size,aria_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
1000,14845.4,19612.5
2000,9185.8,13421.3
3000,7118.5,10871.2
4000,5235.8,9128.7
5000,3638,7293.2
6000,2796.4,5928.9
7000,2278.3,4758.2
8000,1922.2,3982.4
9000,1668.2,2929.7
10000,1478,3068.9
