batch_size,aria_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
1000,106077,107412
2000,66816.2,71319.4
3000,46340.6,50528.9
4000,35673.1,39607.2
5000,29091.2,32612.1
6000,24494.9,27531.8
7000,21081.6,23883.8
8000,18578.1,21126.8
9000,16542.2,19065.1
10000,15049.3,17331
