batch_size,aria_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
1000,25581.3,34456.6
2000,14253.9,19331.7
3000,10387.1,13931.1
4000,8479.6,11142.3
5000,7581.4,9625.1
6000,6764.6,8657.4
7000,6042.4,7904.4
8000,5643.9,7191
9000,5321.5,6697.3
10000,4870.7,6449.6
