batch_size,aria_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
1000,110274,110982
2000,73819.4,77526.2
3000,51784.2,56250.8
4000,40082.8,44041.9
5000,32740.9,36379.8
6000,27664.8,30832.2
7000,23992.9,26702.9
8000,21129,23644.7
9000,18812.4,21260.8
10000,17036,19368.4
