variant	engine	threads	zipf	rw	ops	batch_size	exit_code	elapsed_sec	average_commit	average_abort	total_commit	log_path
current	aria	1	0.0	50	10	1024	0	27	43640.3	1210.9	43640.3	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw50_ops10_bs1024_zipf_0.0.log
current	aria	1	0.0	50	10	2048	0	27	40695.2	2312.8	40695.2	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw50_ops10_bs2048_zipf_0.0.log
current	aria	1	0.0	50	10	4096	0	27	36512.3	4447.7	36512.3	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw50_ops10_bs4096_zipf_0.0.log
current	aria	1	0.0	50	100	1024	0	28	764.9	5379.1	764.9	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw50_ops100_bs1024_zipf_0.0.log
current	aria	1	0.0	50	100	2048	0	27	391.6	5752.4	391.6	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw50_ops100_bs2048_zipf_0.0.log
current	aria	1	0.0	50	100	4096	0	28	183.8	5550.6	183.8	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw50_ops100_bs4096_zipf_0.0.log
current	aria	1	0.0	80	10	1024	0	27	62379.9	288.9	62379.9	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw80_ops10_bs1024_zipf_0.0.log
current	aria	1	0.0	80	10	2048	0	27	61062	582.8	61062	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw80_ops10_bs2048_zipf_0.0.log
current	aria	1	0.0	80	10	4096	0	28	58159.5	1232.5	58159.5	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw80_ops10_bs4096_zipf_0.0.log
current	aria	1	0.0	80	100	1024	0	27	3184.7	6236.1	3184.7	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw80_ops100_bs1024_zipf_0.0.log
current	aria	1	0.0	80	100	2048	0	27	1654.2	7766.6	1654.2	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw80_ops100_bs2048_zipf_0.0.log
current	aria	1	0.0	80	100	4096	0	28	824	8596.8	824	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw80_ops100_bs4096_zipf_0.0.log
current	aria	1	0.2	50	10	1024	0	27	30831	913	30831	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw50_ops10_bs1024_zipf_0.2.log
current	aria	1	0.2	50	10	2048	0	27	28782.3	1741.8	28782.3	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw50_ops10_bs2048_zipf_0.2.log
current	aria	1	0.2	50	10	4096	0	28	26445.9	3454.9	26445.9	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw50_ops10_bs4096_zipf_0.2.log
current	aria	1	0.2	50	100	1024	0	27	684.3	5050.1	684.3	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw50_ops100_bs1024_zipf_0.2.log
current	aria	1	0.2	50	100	2048	0	27	329.1	5386.4	329.1	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw50_ops100_bs2048_zipf_0.2.log
current	aria	1	0.2	50	100	4096	0	28	176.6	5557.8	176.6	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw50_ops100_bs4096_zipf_0.2.log
current	aria	1	0.2	80	10	1024	0	27	40350	200.4	40350	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw80_ops10_bs1024_zipf_0.2.log
current	aria	1	0.2	80	10	2048	0	28	38516.3	395.7	38516.3	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_002912/current_aria_p12_t1_k40000_rw80_ops10_bs2048_zipf_0.2.log
