threads,aria,ariaer_cache_fix_v2
1,16179.3,17637
4,65251.4,69134.7
8,130029,140521
12,193123,208846
16,241558,261061
20,297813,323443
24,352716,382797
28,404744,435506
32,276531,297642
36,320077,341654
40,352171,377533
44,376648,403810
48,407212,437367
52,446073,478378
56,463087,503690
60,475797,519080
