zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,535805,526292,525450
0.2,384796,380003,380271
0.4,372392,370218,369129
0.6,137718,144845,144660
0.8,62999.7,70246.6,69916.9
0.9,48988.7,55823.1,56026.1
