zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,6507.1,7779.8,7808.4
0.2,6108.5,7371.7,7346.9
0.4,4480.3,5385.5,5362.2
0.6,2587.8,3332.2,3341.3
0.8,586.7,877.8,860.6
0.9,272.3,403,410.2
