zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,691544,683736,692055
0.2,465547,464080,464024
0.4,376142,390064,393766
0.6,140947,163718,161892
0.8,71580,91753.6,91245.2
0.9,59364.8,75958.7,76119
