zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,1798.1,2213,2129.8
0.2,1733.2,2095.4,2117.5
0.4,1383.8,1792.1,1750.9
0.6,210.2,558.1,564.4
0.8,35.1,54.3,48.8
0.9,24.6,32.1,31.1
