zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,766335,753688,787251
0.2,500399,502586,499704
0.4,499424,500089,498564
0.6,315478,336586,338659
0.8,152928,185735,184430
0.9,121204,149823,148780
