zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,32025.6,43002.3,42631.5
0.2,29462.7,39817.1,39827.8
0.4,18841.9,27555.2,27795.7
0.6,7445.3,10342.2,10336.4
0.8,3779.9,6910.4,6876.2
0.9,1847.5,4149.3,4165.1
